"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img class=\"video-base\" loading=\"lazy\" src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/youtube-video-base.png\">","#yt_player_0 > div > div:nth-child(2) > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/Icon-The-Race-Formula-1.png\">","#feed-block > div > div > div:nth-child(2) > div:nth-child(1) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/Icon-The-Race-F1-Tech-Show.png\">","#feed-block > div > div > div:nth-child(2) > div:nth-child(2) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/Icon-The-Race-Classic.png\">","#feed-block > div > div > div:nth-child(2) > div:nth-child(3) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/Icon-The-Race-MotoGP.png\">","#feed-block > div > div > div:nth-child(2) > div:nth-child(4) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/Icon-The-Race-IndyCar.png\">","#feed-block > div > div > div:nth-child(2) > div:nth-child(5) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img src=\"https://storage.googleapis.com/the-race-com.appspot.com/1/Icon-The-Race-Formula-E.png\">","#feed-block > div > div > div:nth-child(2) > div:nth-child(6) > div > div > img"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 2.99:1. Recommendation:  change background to #c55400.","<a href=\"/podcasts/\" class=\"action_link btn btn-secondary\" style=\"color:#ffffff !important\">View all our Podcast channels!</a>","#feed-block > div > div > div:nth-child(3) > a"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/formula-1/leclerc-mooted-ferrari-f1-new-mega-deal/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/fe40dd02-7c5a-4b66-b577-4ff50f168f87.jpg');display:block;backgr...","#therace_related_a > div > div:nth-child(1) > div:nth-child(1) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(1) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(1) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/motogp/ducati-jilted-jorge-martin-again-2024/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/1097889.jpg');display:block;background-color:#eeeeee;\">\n  <img loadi...","#therace_related_a > div > div:nth-child(1) > div:nth-child(2) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/motogp/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(2) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/motogp/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(2) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/formula-1/nico-hulkenberg-kevin-magnussen-haas-f1-2023-reaction/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/XPB_1251522_HiRes.jpg');display:block;background-...","#therace_related_a > div > div:nth-child(1) > div:nth-child(3) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(3) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(3) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/motogp/maverick-vinales-motogp-ridiculed-test-king/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/1099369.jpg');display:block;background-color:#eeeeee;\">\n  <img...","#therace_related_a > div > div:nth-child(1) > div:nth-child(4) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/motogp/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(4) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/motogp/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(4) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/formula-1/ferrari-small-upgrade-charles-leclerc-2023-f1-season/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/XPB_1239719_HiRes.jpg');display:block;background-c...","#therace_related_a > div > div:nth-child(1) > div:nth-child(5) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(5) > a:nth-child(3)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\"></a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(5) > h3 > a:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H30.2","Img element is the only content of the link, but is missing alt text. The alt text should describe the purpose of the link.","<a class=\"related_group_image\" href=\"/formula-1/williams-sargeant-choice-replacement-verdict-2024/\" style=\"background-position:bottom center;background-image:url('/content/images/size/w600/2023/12/WilliamsF1_110021_HiRes.jpg');display:block;backgroun...","#therace_related_a > div > div:nth-child(1) > div:nth-child(6) > a:nth-child(1)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent","Anchor element found with a valid href attribute, but no link content has been supplied.","<a href=\"https://www.the-race.com/category/formula-1/\" rel=\"category tag\">\n</a>","#therace_related_a > div > div:nth-child(1) > div:nth-child(6) > a:nth-child(3)"
